prize,winner,date,gender,description
Grande médaille de l’Académie des sciences,Joan A. Steitz,2013-01-01T00:00:00Z,female,$null$
Lemelson–MIT Prize,Gertrude B. Elion,1997-01-01T00:00:00Z,female,award
FASEB Excellence in Science Award,Susan R. Wessler,2012-01-01T00:00:00Z,female,$null$
FASEB Excellence in Science Award,Marilyn Farquhar,2006-01-01T00:00:00Z,female,$null$
HLHL Science and Technology Achievement Award,Wu Zhengyi,2003-01-01T00:00:00Z,male,$null$
Prime Minister’s Prize for Science,Frank Fenner,2002-01-01T00:00:00Z,male,Australian science award
Mendel medal,Mary F. Lyon,2003-01-01T00:00:00Z,female,$null$
ECI Prize,David Cushing,1992-01-01T00:00:00Z,male,$null$
MacArthur Fellows Program,Nancy A. Moran,1997-07-01T00:00:00Z,female,prizes awarded annually by the John D. and Catherine T. MacArthur Foundation
The Shaw Prize in Life Science and Medicine,Mary-Claire King,2018-01-01T00:00:00Z,female,$null$
The Shaw Prize in Life Science and Medicine,Arthur L. Horwich,2012-01-01T00:00:00Z,male,$null$
Kimber Genetics Award,J.B.S. Haldane,1961-01-01T00:00:00Z,male,$null$
Treviranus Medal,Hubert Markl,1996-01-01T00:00:00Z,male,$null$
Guggenheim Fellowship,Melvin Calvin,1944-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Prince Mahidol Award,Barry Marshall,2001-01-01T00:00:00Z,male,Thai award for medicine and public health
Guggenheim Fellowship,Richard Roberts,1978-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Bavarian Maximilian Order for Science and Art,August Weismann,1894-01-01T00:00:00Z,male,civil Bavarian order
Prince Mahidol Award,Greg Winter,2016-01-01T00:00:00Z,male,Thai award for medicine and public health
Karl Spencer Lashley Award,Masakazu Konishi,2004-01-01T00:00:00Z,male,American science award
Karl Spencer Lashley Award,Robert Wurtz,1994-01-01T00:00:00Z,male,American science award
Gay-Lussac-Humboldt-Prize,Axel Brennicke,1993-01-01T00:00:00Z,male,science award
Linnean Medal,D'Arcy Wentworth Thompson,1938-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
Linnean Medal,Enrico Coen,1997-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
AAAS Fellow,Kathryn L Cottingham,2019-01-01T00:00:00Z,female,award and fellowship
AAAS Fellow,Judith Vanhouten,2009-01-01T00:00:00Z,female,award and fellowship
AAAS Fellow,Maria Elena Zavala,2009-01-01T00:00:00Z,female,award and fellowship
AAAS Fellow,Ingrid Burke,2010-01-01T00:00:00Z,female,award and fellowship
John J. Carty Award for the Advancement of Science,Thomas Eisner,2008-01-01T00:00:00Z,male,$null$
John J. Carty Award for the Advancement of Science,Motoo Kimura,1987-01-01T00:00:00Z,male,$null$
John J. Carty Award for the Advancement of Science,Joseph R. Ecker,2007-01-01T00:00:00Z,male,$null$
John J. Carty Award for the Advancement of Science,Russell Doolittle,2006-01-01T00:00:00Z,male,$null$
National Prize for Arts and Sciences,Guillermo Soberón Acevedo,1980-01-01T00:00:00Z,male,award in Mexico
Princess of Asturias Award for Technical and Scientific Research,Joseph Altman,2011-01-01T00:00:00Z,male,$null$
Frink Medal,Geoffrey Fryer,1983-01-01T00:00:00Z,male,medal awarded by the Zoological Society of London
Linnean Medal,Albert Günther,1904-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
Franklin Medal,Mario Capecchi,1997-01-01T00:00:00Z,male,"science award by the Franklin Institute, Philadelphia"
Harvey Prize,Marc Kirschner,2015-01-01T00:00:00Z,male,award
Kimber Genetics Award,Sewall Wright,1956-01-01T00:00:00Z,male,$null$
MacArthur Fellows Program,Steven Goodman,2005-09-01T00:00:00Z,male,prizes awarded annually by the John D. and Catherine T. MacArthur Foundation
Kimber Genetics Award,Tracy Sonneborn,1959-01-01T00:00:00Z,male,$null$
Wolf Prize in Medicine,John Gurdon,1989-01-01T00:00:00Z,male,award
Wolf Prize in Medicine,Shinya Yamanaka,2011-01-01T00:00:00Z,male,award
Harvard Centennial Medal,Edward O. Wilson,1999-01-01T00:00:00Z,male,$null$
Pfizer Award in Enzyme Chemistry,Frederic M. Richards,1965-01-01T00:00:00Z,male,$null$
Daniel Giraud Elliot Medal,Ernst Mayr,1967-01-01T00:00:00Z,male,award made by the U.S. National Academy of Sciences
FASEB Excellence in Science Award,Ellen Vitetta,1991-01-01T00:00:00Z,female,$null$
Nierenberg Prize,Edward O. Wilson,2001-01-01T00:00:00Z,male,$null$
Wolf Prize in Medicine,Mario Capecchi,2002-01-01T00:00:00Z,male,award
Hector Medal,Gordon Herriot Cunningham,1948-01-01T00:00:00Z,male,"scientific award for outstanding work in chemical, physical or mathematical and information sciences by a researcher in New Zealand, awarded annually"
Massry Prize,Shinya Yamanaka,2008-01-01T00:00:00Z,male,$null$
AAAS Fellow,Douglas R. Cavener,2014-01-01T00:00:00Z,male,award and fellowship
Weizmann Women & Science Award,Joan A. Steitz,1994-01-01T00:00:00Z,female,$null$
Wolf Prize in Medicine,Mary F. Lyon,1997-01-01T00:00:00Z,female,award
L'Oréal-UNESCO Award For Women in Science,Elaine Fuchs,2010-01-01T00:00:00Z,female,scientific award
FASEB Excellence in Science Award,Philippa Marrack,1995-01-01T00:00:00Z,female,$null$
Massry Prize,Mario Capecchi,2002-01-01T00:00:00Z,male,$null$
The Shaw Prize in Life Science and Medicine,Shinya Yamanaka,2008-01-01T00:00:00Z,male,$null$
Nierenberg Prize,David Attenborough,2005-01-01T00:00:00Z,male,$null$
Franklin Medal,Theodosius Dobzhansky,1973-01-01T00:00:00Z,male,"science award by the Franklin Institute, Philadelphia"
Princess of Asturias Award for Technical and Scientific Research,Hamilton Smith,2001-01-01T00:00:00Z,male,$null$
Massry Prize,Judah Folkman,1998-01-01T00:00:00Z,male,$null$
Linnean Medal,John Maynard Smith,1995-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
Princess of Asturias Award for Technical and Scientific Research,John Sulston,2001-01-01T00:00:00Z,male,$null$
Pro meritis scientiae et litterarum,Helmut Altner,2004-01-01T00:00:00Z,male,$null$
Wolf Prize in Medicine,Jon van Rood,1978-01-01T00:00:00Z,male,award
Princess of Asturias Award for Technical and Scientific Research,Luc Montagnier,2000-01-01T00:00:00Z,male,$null$
Bavarian Maximilian Order for Science and Art,Peter Gruss,2012-01-01T00:00:00Z,male,civil Bavarian order
Prime Minister’s Prize for Science,Elizabeth S. Dennis,2000-01-01T00:00:00Z,female,Australian science award
Eric K. Fernströms Svenska Pris,Taija Mäkinen,2015-01-01T00:00:00Z,female,$null$
Guggenheim Fellowship,Patricia Majluf,2007-01-01T00:00:00Z,female,"grant in the arts, awarded annually"
Guggenheim Fellowship,Leonila Vázquez-García,1961-01-01T00:00:00Z,female,"grant in the arts, awarded annually"
Massry Prize,James Rothman,2010-01-01T00:00:00Z,male,$null$
Massry Prize,James Thomson,2008-01-01T00:00:00Z,male,$null$
Prince Mahidol Award,Mary-Claire King,2018-01-01T00:00:00Z,female,Thai award for medicine and public health
Howard Taylor Ricketts Award,Jeffrey I. Gordon,2014-01-01T00:00:00Z,male,$null$
Howard Taylor Ricketts Award,Stanley Falkow,1995-01-01T00:00:00Z,male,$null$
Howard Taylor Ricketts Award,Piet Borst,1989-01-01T00:00:00Z,male,$null$
Linnean Medal,Josias Braun-Blanquet,1974-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
Linnean Medal,Hugo de Vries,1929-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
FASEB Excellence in Science Award,Joan A. Steitz,2003-01-01T00:00:00Z,female,$null$
FASEB Excellence in Science Award,Elaine Fuchs,2006-01-01T00:00:00Z,female,$null$
FASEB Excellence in Science Award,Susan Lindquist,2009-01-01T00:00:00Z,female,$null$
BBVA Foundation Frontiers of Knowledge Award,Anthony R. Hunter,2014-01-01T00:00:00Z,male,Spanish science award
Princess of Asturias Award for Technical and Scientific Research,Anthony R. Hunter,2004-01-01T00:00:00Z,male,$null$
Linnean Medal,Georgina Mace,2016-01-01T00:00:00Z,female,award made annually to alternately a botanist or a zoologist
Ramon Margalef Prize in Ecology,Daniel Pauly,2008-01-01T00:00:00Z,male,$null$
Körber European Science Prize,María Blasco Marhuenda,2008-01-01T00:00:00Z,female,German science award
Charles F. Kettering Prize,H. Rodney Withers,1998-01-01T00:00:00Z,male,oncology award
Theodosius Dobzhansky Prize,Douglas R. Cavener,1981-01-01T00:00:00Z,male,$null$
John von Neumann Award,András Falus,2006-01-01T00:00:00Z,male,$null$
Overton Prize,Ewan Birney,2005-01-01T00:00:00Z,male,computational biology prize
Rumford Prize,George Wald,1959-01-01T00:00:00Z,male,$null$
Kyoto Prize in Advanced Technology,Nicole Marthe Le Douarin,1986-01-01T00:00:00Z,female,$null$
Warren Alpert Foundation Prize,Howard Green,2010-01-01T00:00:00Z,male,$null$
Cloëtta Prize,Denis Duboule,1997-01-01T00:00:00Z,male,Swiss academic biomedical distinction
Kyoto Prize in Basic Sciences,Walter J. Gehring,2000-01-01T00:00:00Z,male,$null$
Princess of Asturias Award for Social Sciences,David Attenborough,2009-01-01T00:00:00Z,male,$null$
Kempe Award for Distinguished Ecologists,Daniel Simberloff,2000-01-01T00:00:00Z,male,$null$
Ralph W. Gerard Prize,Nicole Marthe Le Douarin,2007-01-01T00:00:00Z,female,award of the Society for Neuroscience
UCL Prize Lecture in Clinical Science,Françoise Barré-Sinoussi,2016-01-01T00:00:00Z,female,English science award
Guggenheim Fellowship,George W. D. Hamlett,1937-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Körber European Science Prize,Gerhard Gottsberger,1996-01-01T00:00:00Z,male,German science award
Kempe Award for Distinguished Ecologists,Ilkka Hanski,2011-01-01T00:00:00Z,male,$null$
Pour le Mérite for Sciences and Arts,Konrad Lorenz,1969-01-01T00:00:00Z,male,civil class of the order
Dr. Paul Janssen Award for Biomedical Research,Craig Mello,2006-01-01T00:00:00Z,male,$null$
Robert Koch Gold Medal,Emil R. Unanue,2005-01-01T00:00:00Z,male,award for excellence in biomedical research
Robert Koch Gold Medal,Gustav Nossal,1996-01-01T00:00:00Z,male,award for excellence in biomedical research
William Allan Award,Mary F. Lyon,1986-01-01T00:00:00Z,female,award given by the American Society of Human Genetics
Silver Medal of the Zoological Society of London,Richard Dawkins,1989-01-01T00:00:00Z,male,award conferred by Zoological Society of London
Victoria Medal,Alexander Emanuel Agassiz,1909-01-01T00:00:00Z,male,award from the Royal Geographical Society
Dorothy Hill Medal,Nicole Webster,2010-01-01T00:00:00Z,female,Australian award for earth sciences research by women
Charles F. Kettering Prize,Elwood V. Jensen,1980-01-01T00:00:00Z,male,oncology award
International Cosmos Prize,Jared Diamond,1998-01-01T00:00:00Z,male,Japanese science award
Mendel medal,Stanislas Leibler,2013-01-01T00:00:00Z,male,$null$
Baden-Wuerttemberg Research Award,Detlef Weigel,2010-01-01T00:00:00Z,male,$null$
Kyoto Prize in Advanced Technology,Leroy Hood,2002-01-01T00:00:00Z,male,$null$
Dr. Paul Janssen Award for Biomedical Research,Axel Ullrich,2009-01-01T00:00:00Z,male,$null$
Benjamin Franklin Award,Jim Kent,2003-01-01T00:00:00Z,male,$null$
Banting Medal,Dorothy Hodgkin,1972-01-01T00:00:00Z,female,award
W. Alden Spencer Award,Bert Sakmann,1983-01-01T00:00:00Z,male,$null$
Benjamin Franklin Award,Michael Eisen,2002-01-01T00:00:00Z,male,$null$
Warren Alpert Foundation Prize,Ruth Sonntag Nussenzweig,2015-01-01T00:00:00Z,female,$null$
Dorothy Crowfoot Hodgkin Award,Cynthia Wolberger,2013-01-01T00:00:00Z,female,award for contributions in protein science which influence our understanding of biology
Guggenheim Fellowship,Jack Colvard Jones,1965-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Pour le Mérite for Sciences and Arts,Bert Sakmann,1996-06-04T00:00:00Z,male,civil class of the order
Florey Medal,Peter Colman,2004-01-01T00:00:00Z,male,Australian award for biomedical research
Jacob-Henle-Medaille,Jens Frahm,2016-01-01T00:00:00Z,male,$null$
AMA Scientific Achievement Award,René Dubos,1964-01-01T00:00:00Z,male,award
Florey Medal,Barry Marshall,1998-01-01T00:00:00Z,male,Australian award for biomedical research
Welch Award in Chemistry,Norman Davidson,1989-01-01T00:00:00Z,male,chemistry prize
Robert Koch Gold Medal,Eckard Wimmer,2012-01-01T00:00:00Z,male,award for excellence in biomedical research
International Cosmos Prize,Wu Zhengyi,1999-01-01T00:00:00Z,male,Japanese science award
Robert Pfleger Research Award,Hanns Hatt,2010-01-01T00:00:00Z,male,medical research prize
Kyoto Prize in Advanced Technology,Shinya Yamanaka,2010-01-01T00:00:00Z,male,$null$
Young Champions of the Earth,Liliana Jaramillo Pazmiño,2017-01-01T00:00:00Z,female,United Nations Environment Programme Award
Prix Jules Janssen,Marcel Minnaert,1966-01-01T00:00:00Z,male,$null$
Acharius Medal,Ana Crespo,2012-01-01T00:00:00Z,female,award for lifetime achievement in lichenology
John J. Carty Award for the Advancement of Science,Russell Doolittle,2006-01-01T00:00:00Z,male,$null$
Linnean Medal,Ernst Mayr,1977-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
Linnean Medal,Ernst Haeckel,1894-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
Princess of Asturias Award for Technical and Scientific Research,Judah Folkman,2004-01-01T00:00:00Z,male,$null$
National Research Prize Santiago Ramon y Cajal,Antonio García-Bellido,1996-01-01T00:00:00Z,male,$null$
BBVA Foundation Frontiers of Knowledge Award,Gretchen Daily,2018-01-01T00:00:00Z,female,Spanish science award
Hector Medal,Edward Edinborough Chamberlain,1960-01-01T00:00:00Z,male,"scientific award for outstanding work in chemical, physical or mathematical and information sciences by a researcher in New Zealand, awarded annually"
Overton Prize,Debora Marks,2016-01-01T00:00:00Z,female,computational biology prize
Massry Prize,Andrew Fire,2005-01-01T00:00:00Z,male,$null$
Massry Prize,Michael Berridge,1996-01-01T00:00:00Z,male,$null$
John von Neumann Award,András Falus,2006-01-01T00:00:00Z,male,$null$
Overton Prize,Ewan Birney,2005-01-01T00:00:00Z,male,computational biology prize
Rumford Prize,George Wald,1959-01-01T00:00:00Z,male,$null$
Richard Lounsbery Award,Alfred G. Gilman,1987-01-01T00:00:00Z,male,$null$
Loye and Alden Miller Research Award,Ernst Mayr,2000-01-01T00:00:00Z,male,$null$
Hector Medal,Patricia Bergquist,1989-01-01T00:00:00Z,female,"scientific award for outstanding work in chemical, physical or mathematical and information sciences by a researcher in New Zealand, awarded annually"
Warren Alpert Foundation Prize,Howard Green,2010-01-01T00:00:00Z,male,$null$
Hector Medal,George Malcolm Thomson,1929-01-01T00:00:00Z,male,"scientific award for outstanding work in chemical, physical or mathematical and information sciences by a researcher in New Zealand, awarded annually"
Massry Prize,Philippe Horvath,2015-01-01T00:00:00Z,male,$null$
Marjory Stephenson Prize,John Skehel,2006-01-01T00:00:00Z,male,principal prize of the Microbiology Society
Phi Beta Kappa Award in Science,Edward O. Wilson,1995-01-01T00:00:00Z,male,$null$
BBVA Foundation Frontiers of Knowledge Award,Anthony R. Hunter,2014-01-01T00:00:00Z,male,Spanish science award
John Scott Medal,Georges J. F. Köhler,1984-01-01T00:00:00Z,male,award for medicine
Massry Prize,Judah Folkman,1998-01-01T00:00:00Z,male,$null$
William Procter Prize for Scientific Achievement,Edward O. Wilson,1997-01-01T00:00:00Z,male,American science award
Silver Medal of the Zoological Society of London,Richard Dawkins,1989-01-01T00:00:00Z,male,award conferred by Zoological Society of London
Massry Prize,Jeffrey I. Gordon,2017-01-01T00:00:00Z,male,$null$
Marjory Stephenson Prize,Jacques Monod,1969-01-01T00:00:00Z,male,principal prize of the Microbiology Society
National Prize for Sciences (Chile),Humberto Maturana,1994-01-01T00:00:00Z,male,$null$
Massry Prize,Günter Blobel,1999-01-01T00:00:00Z,male,$null$
Medalla de Honor al Fomento de la Invención,Manuel Losada Villasante,1985-01-01T00:00:00Z,male,$null$
Weizmann Women & Science Award,Mary-Claire King,2006-01-01T00:00:00Z,female,$null$
Massry Prize,Lee Hartwell,2000-01-01T00:00:00Z,male,$null$
Champalimaud Vision Award,Napoleone Ferrara,2014-01-01T00:00:00Z,male,award for vision research
Agnes Fay Morgan Research Award,Maxine Singer,1963-01-01T00:00:00Z,female,award for research achievement in the field of chemistry
Helmholtz Medal,Arnold Graffi,1984-01-01T00:00:00Z,male,"an award to scholars for excellence in the areas of natural science, technology, medicine, epistemology, humanities and social sciences"
Kyoto Prize in Advanced Technology,Leroy Hood,2002-01-01T00:00:00Z,male,$null$
Vannevar Bush Award,Rita R. Colwell,2017-01-01T00:00:00Z,female,American science award
Science Award of Lower Saxony,Holger Kreft,2015-01-01T00:00:00Z,male,$null$
Heinz Award,Leroy Hood,2006-01-01T00:00:00Z,male,$null$
Weizmann Women & Science Award,Joan A. Steitz,1994-01-01T00:00:00Z,female,$null$
National Prize for Applied Sciences and Technologies - Chile,Juan Carlos Castilla Zenobi,2010-01-01T00:00:00Z,male,$null$
Richard Lounsbery Award,Elaine Fuchs,2001-01-01T00:00:00Z,female,$null$
Overton Prize,Steven E. Brenner,2010-01-01T00:00:00Z,male,computational biology prize
Massry Prize,James Rothman,2010-01-01T00:00:00Z,male,$null$
Prince Mahidol Award,Greg Winter,2016-01-01T00:00:00Z,male,Thai award for medicine and public health
Massry Prize,David Baulcombe,2005-01-01T00:00:00Z,male,$null$
BBVA Foundation Frontiers of Knowledge Award,Ilkka Hanski,2015-01-01T00:00:00Z,male,Spanish science award
Warren Alpert Foundation Prize,Ruth Sonntag Nussenzweig,2015-01-01T00:00:00Z,female,$null$
Massry Prize,Shinya Yamanaka,2008-01-01T00:00:00Z,male,$null$
BBVA Foundation Frontiers of Knowledge Award,Shinya Yamanaka,2010-01-01T00:00:00Z,male,Spanish science award
IEEE Medal for Innovations in Healthcare Technology,Leroy Hood,2014-01-01T00:00:00Z,male,$null$
Overton Prize,Gonçalo Abecasis,2013-01-01T00:00:00Z,male,computational biology prize
Hervorragender Wissenschaftler des Volkes,Paula Hertwig,1959-01-01T00:00:00Z,female,title and award of the German Democratic Republic
Overton Prize,Jim Kent,2003-01-01T00:00:00Z,male,computational biology prize
Massry Prize,Oliver Smithies,2002-01-01T00:00:00Z,male,$null$
BBVA Foundation Frontiers of Knowledge Award,Daniel H. Janzen,2011-01-01T00:00:00Z,male,Spanish science award
Prince Mahidol Award,Mary-Claire King,2018-01-01T00:00:00Z,female,Thai award for medicine and public health
Richard Lounsbery Award,Pascale Cossart,1998-01-01T00:00:00Z,female,$null$
Harvard Centennial Medal,Edward O. Wilson,1999-01-01T00:00:00Z,male,$null$
Hector Medal,John Thorpe Holloway,1966-01-01T00:00:00Z,male,"scientific award for outstanding work in chemical, physical or mathematical and information sciences by a researcher in New Zealand, awarded annually"
Massry Prize,Arthur L. Horwich,2011-01-01T00:00:00Z,male,$null$
Björkén Prize,Eva Klein,1978-01-01T00:00:00Z,female,$null$
Helmholtz Medal,Rita R. Colwell,2018-01-01T00:00:00Z,female,"an award to scholars for excellence in the areas of natural science, technology, medicine, epistemology, humanities and social sciences"
William Procter Prize for Scientific Achievement,Susan Lindquist,2006-01-01T00:00:00Z,female,American science award
National Prize for Sciences (Chile),Héctor Croxatto Rezzio,1979-01-01T00:00:00Z,male,$null$
Massry Prize,Rob Knight,2017-01-01T00:00:00Z,male,$null$
Vannevar Bush Award,Maxine Singer,1999-01-01T00:00:00Z,female,American science award
UNESCO/Institut Pasteur Medal,Esther Orozco,1997-01-01T00:00:00Z,female,$null$
Innovation Award in Medical / Pharmaceutical Chemistry,Thomas Carell,1999-01-01T00:00:00Z,male,$null$
National Research Prize Santiago Ramon y Cajal,Joan Modolell i Mainou,2006-01-01T00:00:00Z,male,$null$
Harvard Centennial Medal,Susan Lindquist,2008-01-01T00:00:00Z,female,$null$
Abdus Salam Medal,Thomas Risley Odhiambo,1998-01-01T00:00:00Z,male,Italian science award
BBVA Foundation Frontiers of Knowledge Award,Edward O. Wilson,2010-01-01T00:00:00Z,male,Spanish science award
Stockholm Water Prize,Joan Rose,2016-01-01T00:00:00Z,female,$null$
Prince Mahidol Award,Axel Ullrich,2007-01-01T00:00:00Z,male,Thai award for medicine and public health
Daniel Giraud Elliot Medal,Theodosius Dobzhansky,1941-01-01T00:00:00Z,male,award made by the U.S. National Academy of Sciences
Warren Alpert Foundation Prize,Philippe Horvath,2016-01-01T00:00:00Z,male,$null$
Frink Medal,V. C. Wynne-Edwards,1979-01-01T00:00:00Z,male,medal awarded by the Zoological Society of London
Acharius Medal,Teuvo Tapio Ahti,2000-01-01T00:00:00Z,male,award for lifetime achievement in lichenology
Urey Medal,Donald Canfield,2011-01-01T00:00:00Z,male,European science award
Prize of the Foundation for Polish Science,Leszek Kaczmarek,2000-01-01T00:00:00Z,male,scientific award in Poland
Leconte Prize,Alexandre Yersin,1927-01-01T00:00:00Z,male,French prize for discoveries in science
National Research Prize Santiago Ramon y Cajal,Ginés Morata,2002-01-01T00:00:00Z,male,$null$
Helmholtz Medal,Richard Hertwig,1916-01-01T00:00:00Z,male,"an award to scholars for excellence in the areas of natural science, technology, medicine, epistemology, humanities and social sciences"
Massry Prize,Michael Grunstein,2003-01-01T00:00:00Z,male,$null$
A. I. Virtanen Award,Melvin Calvin,1975-01-01T00:00:00Z,male,$null$
Richard Lounsbery Award,Günter Blobel,1983-01-01T00:00:00Z,male,$null$
Victoria Medal of Honour,Miriam Rothschild,1991-01-01T00:00:00Z,female,Royal Horticultural Society
National Research Prize Santiago Ramon y Cajal,María Blasco Marhuenda,2010-01-01T00:00:00Z,female,$null$
Helmholtz Medal,Rudolf Virchow,1898-01-01T00:00:00Z,male,"an award to scholars for excellence in the areas of natural science, technology, medicine, epistemology, humanities and social sciences"
Acharius Medal,Irwin Murray Brodo,1994-01-01T00:00:00Z,male,award for lifetime achievement in lichenology
Massry Prize,Jeffrey C. Hall,2012-01-01T00:00:00Z,male,$null$
Marjory Stephenson Prize,André Lwoff,1957-01-01T00:00:00Z,male,principal prize of the Microbiology Society
Weizmann Women & Science Award,Elizabeth Blackburn,2008-01-01T00:00:00Z,female,$null$
BBVA Foundation Frontiers of Knowledge Award,Adrian Peter Bird,2013-01-01T00:00:00Z,male,Spanish science award
Massry Prize,Rudolf Jaenisch,2008-01-01T00:00:00Z,male,$null$
UNESCO Science Prize,Johanna Döbereiner,1989-01-01T00:00:00Z,female,biennial scientific prize
Prize of the Foundation for Polish Science,Jan Potempa,2011-01-01T00:00:00Z,male,scientific award in Poland
Hector Medal,Gordon Herriot Cunningham,1948-01-01T00:00:00Z,male,"scientific award for outstanding work in chemical, physical or mathematical and information sciences by a researcher in New Zealand, awarded annually"
Richard Lounsbery Award,Carol Greider,2003-01-01T00:00:00Z,female,$null$
Massry Prize,James Thomson,2008-01-01T00:00:00Z,male,$null$
National Prize for Sciences (Chile),Alejandro Lipschutz,1969-01-01T00:00:00Z,male,$null$
BBVA Foundation Frontiers of Knowledge Award,Terry Hughes,2019-01-01T00:00:00Z,male,Spanish science award
Kyoto Prize in Advanced Technology,Nicole Marthe Le Douarin,1986-01-01T00:00:00Z,female,$null$
AAAS Fellow,Mary Sharon Stack,2012-01-01T00:00:00Z,female,award and fellowship
AAAS Fellow,Virginia Carson,1998-01-01T00:00:00Z,female,award and fellowship
AAAS Fellow,Monica Roth,2016-01-01T00:00:00Z,female,award and fellowship
AAAS Fellow,Kathryn Horwitz,2000-01-01T00:00:00Z,female,award and fellowship
Richard Lounsbery Award,Cornelia Bargmann,2009-01-01T00:00:00Z,female,$null$
AAAS Fellow,Laura Grabel,2003-01-01T00:00:00Z,female,award and fellowship
AAAS Fellow,Nora Besansky,2005-01-01T00:00:00Z,female,award and fellowship
Karl Spencer Lashley Award,Torsten Nils Wiesel,1977-01-01T00:00:00Z,male,American science award
Kyoto Prize in Basic Sciences,Walter J. Gehring,2000-01-01T00:00:00Z,male,$null$
Kyoto Prize in Basic Sciences,Israel Gelfand,1989-01-01T00:00:00Z,male,$null$
Stockholm Water Prize,Rita R. Colwell,2010-01-01T00:00:00Z,female,$null$
Cloëtta Prize,Nouria Hernandez,2007-01-01T00:00:00Z,female,Swiss academic biomedical distinction
Louis-Jeantet Prize for Medicine,Ulrich Karl Lämmli,1996-01-01T00:00:00Z,male,$null$
Karl Spencer Lashley Award,Curt Richter,1980-01-01T00:00:00Z,male,American science award
Louis-Jeantet Prize for Medicine,Nicole Marthe Le Douarin,1990-01-01T00:00:00Z,female,$null$
Cloëtta Prize,Ueli Schibler,1986-01-01T00:00:00Z,male,Swiss academic biomedical distinction
Kyoto Prize in Basic Sciences,John Maynard Smith,2001-01-01T00:00:00Z,male,$null$
Novo Nordisk Prize,Marja Jäättelä,2007-01-01T00:00:00Z,female,$null$
The Brain Prize,Richard G. Morris,2016-01-01T00:00:00Z,male,Danish science award in neuroscience
Swartz Prize,John Hopfield,2012-01-01T00:00:00Z,male,prize of the Society for Neuroscience
Pour le Mérite for Sciences and Arts,Günter Blobel,2001-01-01T00:00:00Z,male,civil class of the order
Richard Lounsbery Award,Douglas A. Melton,1995-01-01T00:00:00Z,male,$null$
Prince Mahidol Award,Barry Marshall,2001-01-01T00:00:00Z,male,Thai award for medicine and public health
Richard Lounsbery Award,Pardis C. Sabeti,2017-01-01T00:00:00Z,female,$null$
William Procter Prize for Scientific Achievement,Janet Rowley,1989-01-01T00:00:00Z,female,American science award
Princess of Asturias Award for Technical and Scientific Research,David Vázquez Martínez,1985-01-01T00:00:00Z,male,$null$
Massry Prize,Mario Capecchi,2002-01-01T00:00:00Z,male,$null$
Linnean Medal,Josias Braun-Blanquet,1974-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
Cloëtta Prize,Antonio Lanzavecchia,1999-01-01T00:00:00Z,male,Swiss academic biomedical distinction
Massry Prize,Craig Mello,2005-01-01T00:00:00Z,male,$null$
Richard Lounsbery Award,Marc Kirschner,1991-01-01T00:00:00Z,male,$null$
Linnean Medal,Richard Owen,1888-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
The Brain Prize,Adrian Peter Bird,2020-01-01T00:00:00Z,male,Danish science award in neuroscience
William Procter Prize for Scientific Achievement,Rita R. Colwell,2013-01-01T00:00:00Z,female,American science award
Frink Medal,Brian Charlesworth,2006-01-01T00:00:00Z,male,medal awarded by the Zoological Society of London
William Procter Prize for Scientific Achievement,Thomas Eisner,1986-01-01T00:00:00Z,male,American science award
Frink Medal,Julian Huxley,1973-01-01T00:00:00Z,male,medal awarded by the Zoological Society of London
Max Planck Research Award,Stefan Jentsch,2003-01-01T00:00:00Z,male,science award of the Max Planck Society and the Alexander von Humboldt Foundation
Linnean Medal,Albert Günther,1904-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
Kyoto Prize in Basic Sciences,Mario Capecchi,1996-01-01T00:00:00Z,male,$null$
Leeuwenhoek Lecture,Robert G. Webster,2010-01-01T00:00:00Z,male,$null$
Linnean Medal,Thomas Henry Huxley,1890-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
Richard Lounsbery Award,James Rothman,1997-01-01T00:00:00Z,male,$null$
Ralph W. Gerard Prize,Richard Tsien,2014-01-01T00:00:00Z,male,award of the Society for Neuroscience
Princess of Asturias Award for Technical and Scientific Research,John Sulston,2001-01-01T00:00:00Z,male,$null$
Linnean Medal,Alfred Russel Wallace,1892-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
William Procter Prize for Scientific Achievement,Francisco J. Ayala,2000-01-01T00:00:00Z,male,American science award
Leeuwenhoek Lecture,Piet Borst,1989-01-01T00:00:00Z,male,$null$
Medalla de Honor al Fomento de la Invención,Mariano Barbacid,1995-01-01T00:00:00Z,male,$null$
